run,block_size,n_blocks,fraction,corrupted_images,corrupted_pixel_fraction,algorithm,k,rre,accuracy,accuracy_hungarian,nmi,iterations,converged,final_cost,seconds
1,0,0,0.0,0,0.0,"L2,1-NMF",38,0.19281135177163983,0.24252185918085595,0.23285780027611597,0.34697480484779175,250,0,6644.584924405053,11.023129707988119
1,0,0,0.0,0,0.0,L1-Reg Robust,38,0.29347157147278724,0.08467556373676945,0.07777266451909802,0.11340328095451123,250,0,5384.346862568023,14.591190417006146
1,5,1,1.0,2173,0.012383,F-norm MU,38,0.22626535756924732,0.1965025310630465,0.1863782788771284,0.29048261807243697,250,0,45753.719205419824,5.941040999998222
1,5,1,1.0,2173,0.012383,L1-NMF,38,0.26749429521842205,0.09894155545329038,0.09249884951679706,0.13752688670412752,250,0,294750.54362486996,13.6188535830006
1,5,1,1.0,2173,0.012383,Hypersurface,38,0.21393066857514714,0.19052001840773125,0.1854578923147722,0.28353385718961976,250,0,150032.48548484975,15.936907416005852
1,5,1,1.0,2173,0.012383,"L2,1-NMF",38,0.2261947516514253,0.20478601012425218,0.19558214450069028,0.3077542162885162,250,0,9803.877445612772,11.163491540995892
1,5,1,1.0,2173,0.012383,L1-Reg Robust,38,0.29453376147180266,0.08467556373676945,0.07777266451909802,0.10823063894279689,250,0,6186.7252598066925,14.753463624991127
1,10,1,1.0,2173,0.049504,F-norm MU,38,0.45152675040207296,0.10170271514035895,0.09710078232857801,0.16007344028603743,250,0,59291.89594928829,6.598783291003201
1,10,1,1.0,2173,0.049504,L1-NMF,38,0.2704141832369805,0.0975609756097561,0.09341923607915324,0.12932725591224448,250,0,402767.48706773896,13.22151654199115
1,10,1,1.0,2173,0.049504,Hypersurface,38,0.2782680844245665,0.1757938334100322,0.1684307409111827,0.24826899033555497,250,0,238464.16491063082,13.669954917000723
